Chain,Address,Label
arbitrum,0x20CB8B88989D061a5c73c1aB7eB543a977689849,PoolV3_arbitrum
bsc,0xED166436559Fd3d7f44cb00CACDA96EB999D789e,PoolV3_bsc
ethereum,0xa684EAf215ad323452e2B2bF6F817d4aa5C116ab,PoolV3_ethereum
ethereum,0xD83B0a990ac3dBc9A5F3862b84883Da78F286283,BTCPoolV3_ethereum
